utcTime,sessionTime,frame,playerPosition,action,hand,hold,details
2026-06-28T00:38:19.0903090Z,18.836,188,"(-0.081,0.995,-0.005)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:19.1901210Z,18.928,189,"(-0.082,0.996,-0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:19.2899540Z,19.029,190,"(-0.082,0.995,-0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:19.3902000Z,19.135,191,"(-0.083,0.996,-0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:19.4898640Z,19.231,192,"(-0.081,0.988,-0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:19.5902470Z,19.340,193,"(-0.080,0.977,-0.004)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:19.6897770Z,19.433,194,"(-0.079,0.959,-0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:19.7898970Z,19.529,195,"(-0.080,0.952,0.002)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:19.8898810Z,19.630,196,"(-0.079,0.947,0.005)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:19.9897590Z,19.731,197,"(-0.081,0.942,0.009)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:20.0898690Z,19.838,198,"(-0.081,0.931,0.012)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:20.1904830Z,19.939,199,"(-0.081,0.924,0.017)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:20.2898520Z,20.031,200,"(-0.080,0.925,0.017)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:20.3898550Z,20.140,201,"(-0.079,0.928,0.016)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:20.4898430Z,20.233,202,"(-0.078,0.927,0.014)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:20.5902440Z,20.331,203,"(-0.078,0.927,0.014)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:20.6900390Z,20.431,204,"(-0.078,0.927,0.012)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:20.7899660Z,20.531,205,"(-0.079,0.933,0.012)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:20.8900090Z,20.642,206,"(-0.080,0.944,0.016)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:20.9900280Z,20.735,207,"(-0.083,0.968,0.022)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:21.0898820Z,20.832,208,"(-0.082,0.996,0.015)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:21.1900010Z,20.935,209,"(-0.080,1.016,0.003)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:21.2900850Z,21.033,210,"(-0.079,1.031,-0.014)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:21.3899370Z,21.133,211,"(-0.078,1.038,-0.030)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:21.4900900Z,21.236,212,"(-0.076,1.045,-0.043)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:21.5897570Z,21.332,213,"(-0.074,1.048,-0.052)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:21.6901340Z,21.433,214,"(-0.074,1.050,-0.055)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:21.7898560Z,21.536,215,"(-0.075,1.050,-0.055)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:21.8899840Z,21.633,216,"(-0.076,1.051,-0.050)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:21.9898010Z,21.739,217,"(-0.076,1.050,-0.046)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:22.0904930Z,21.876,218,"(-0.076,1.049,-0.044)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:22.3271030Z,22.135,219,"(-0.076,1.048,-0.042)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:22.5824640Z,22.391,220,"(-0.074,1.046,-0.042)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:22.8350930Z,22.643,221,"(-0.077,1.046,-0.042)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:23.0872060Z,22.895,222,"(-0.079,1.044,-0.040)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:23.3415960Z,23.150,223,"(-0.079,1.043,-0.039)",LocomotionStop,,,grip locomotion stopped
2026-06-28T00:38:23.5948850Z,23.402,224,"(-0.078,1.025,-0.032)",LocomotionStop,,,grip locomotion stopped
